#{"t_start": 1734049083.9247482, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-714.75,1000,2.92743
-663.25,1000,4.884474
-243.25,1000,6.917611
-13.0,1000,9.025541
-8.5,1000,11.195095
-24.75,1000,13.378399
-12.0,1000,15.638113
-13.5,1000,17.889911
-14.0,1000,20.148175
-9.25,1000,22.436905
-15.0,1000,24.760042
-22.75,1000,27.079571
-6.5,1000,29.348415
-6.0,1000,31.669184
-4.25,1000,34.090943
-8.0,1000,36.594704
-2.0,1000,39.004462
-10.5,1000,41.548079
-1.0,1000,43.921079
-12.0,1000,46.331648
-18.5,1000,48.645102
-9.0,1000,50.950637
-19.0,1000,53.220221
-8.5,1000,55.503124
-5.0,1000,57.796259
