#{"t_start": 1734193869.109685, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
10.0,5000,20.098242
7.0,5000,34.805629
10.5,5000,51.786239
17.0,5000,66.612511
21.0,5000,83.658278
10.5,5000,98.808901
19.0,5000,114.241819
23.5,5000,130.247536
26.5,5000,144.629813
10.5,5000,160.490201
30.0,5000,176.005834
15.5,5000,193.998286
14.0,5000,208.010097
7.0,5000,224.099638
12.5,5000,238.015973
16.0,5000,254.303571
7.0,5000,269.225916
9.0,5000,284.298376
14.5,5000,303.88717
18.5,5000,318.711373
17.0,5000,334.924396
8.5,5000,350.526672
10.5,5000,368.625249
13.5,5000,382.172427
7.0,5000,397.438767
