#{"t_start": 1734095248.570066, "env_id": "hurry_taxi/TaxiGrid-v0"}
r,l,t
-916.5,1000,10.250466
-954.0,1000,19.00468
-883.0,1000,27.686641
-993.5,1000,36.48456
-980.0,1000,45.337466
-972.5,1000,54.066971
-905.5,1000,62.786438
-966.5,1000,71.557432
-917.0,1000,80.320704
-1125.0,1000,88.987259
-1057.5,1000,98.043291
-957.5,1000,106.927904
-1016.5,1000,115.686848
-1633.5,1000,124.311406
-1250.0,1000,132.933786
-1362.0,1000,141.594302
-1307.0,1000,150.288548
-977.5,1000,159.061716
-971.5,1000,167.851689
-1300.0,1000,176.673296
-1336.5,1000,185.620673
-1500.5,1000,194.580963
-1256.0,1000,203.349451
-1093.5,1000,211.902528
-1660.5,1000,220.424391
